q,k,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,10,1,BA,B,0,stage.leaf_distance,1,0.001296383,0.001296056,0.1175115967627868
32,10,1,BA,B,0,stage.node_plan,4,9.5516e-05,9.437e-05,0.008658118531633278
32,10,1,BA,B,0,stage.node_prune,4,5.3517e-05,5.2426e-05,0.004851088084272983
32,10,1,BA,B,0,stage.output_alloc,1,8.462e-06,8.089e-06,0.0007670442545194607
32,10,1,BA,B,0,stage.pivot_distance,2,0.000101583,0.000101033,0.009208066238105694
32,10,1,BA,B,0,stage.pivot_sort,2,0.000204765,0.000204177,0.018561075014970146
32,10,1,BA,B,0,stage.result_sort,1,0.00332186,0.003321665,0.30111245891255206
32,10,1,BA,B,0,stage.schedule,10,0.000124373,0.000121645,0.011273882659814332
32,10,1,BA,B,0,stage.threshold,2,2.0986e-05,2.0449e-05,0.001902291506185937
32,10,1,BA,B,1,stage.aggregate,1,1.632e-05,1.6059e-05,0.0014762652371015847
32,10,1,BA,B,1,stage.alloc_init,1,0.002108505,0.002108199,0.19072994079380373
32,10,1,BA,B,1,stage.candidates,1,9.8473e-05,9.8198e-05,0.008907614380704924
32,10,1,BA,B,1,stage.cleanup,1,0.003562238,0.003561953,0.32223089005406097
32,10,1,BA,B,1,stage.delivery,1,4.0142e-05,3.9867e-05,0.00363114210464043
32,10,1,BA,B,1,stage.leaf_distance,1,0.001293459,0.001293146,0.11700297532574624
32,10,1,BA,B,1,stage.node_plan,4,9.6513e-05,9.5375e-05,0.008730317820366743
32,10,1,BA,B,1,stage.node_prune,4,5.4604e-05,5.3513e-05,0.0049393374391357185
32,10,1,BA,B,1,stage.output_alloc,1,4.962e-06,4.678e-06,0.00044884976142757743
32,10,1,BA,B,1,stage.pivot_distance,2,0.000104077,0.000103538,0.009414537811386129
32,10,1,BA,B,1,stage.pivot_sort,2,0.000201164,0.00020057,0.018196778195851908
32,10,1,BA,B,1,stage.result_sort,1,0.003323948,0.003323693,0.30067578935866046
32,10,1,BA,B,1,stage.schedule,10,0.000122632,0.00011989,0.011092975401730485
32,10,1,BA,B,1,stage.threshold,2,1.9744e-05,1.9188e-05,0.0017859914731209368
32,10,1,BA,B,2,stage.aggregate,1,1.5548e-05,1.5267e-05,0.0013810564673378547
32,10,1,BA,B,2,stage.alloc_init,1,0.002114443,0.002114137,0.18781612940360534
32,10,1,BA,B,2,stage.candidates,1,9.7918e-05,9.7635e-05,0.008697600152353232
32,10,1,BA,B,2,stage.cleanup,1,0.003751515,0.003751221,0.3332296149385755
32,10,1,BA,B,2,stage.delivery,1,4.2881e-05,4.26e-05,0.003808919627985242
32,10,1,BA,B,2,stage.leaf_distance,1,0.001293541,0.001293216,0.11489922586935143
32,10,1,BA,B,2,stage.node_plan,4,9.6418e-05,9.5234e-05,0.008564362134537
32,10,1,BA,B,2,stage.node_prune,4,5.4636e-05,5.352e-05,0.00485306156093845
32,10,1,BA,B,2,stage.output_alloc,1,4.857e-06,4.574e-06,0.0004314247016889607
32,10,1,BA,B,2,stage.pivot_distance,2,0.000101122,0.000100565,0.008982196558408704
32,10,1,BA,B,2,stage.pivot_sort,2,0.000203781,0.000203168,0.01810091767240644
32,10,1,BA,B,2,stage.result_sort,1,0.003328013,0.003327777,0.2956119035911021
32,10,1,BA,B,2,stage.schedule,10,0.000124601,0.000121864,0.011067726838613587
32,10,1,BA,B,2,stage.threshold,2,2.0209e-05,1.9652e-05,0.0017950714013654943
32,10,1,BA,B,3,stage.aggregate,1,1.6381e-05,1.6097e-05,0.001462485605931151
32,10,1,BA,B,3,stage.alloc_init,1,0.002114105,0.002113478,0.18874599425719282
32,10,1,BA,B,3,stage.candidates,1,0.000100032,9.9745e-05,0.008930795441823142
32,10,1,BA,B,3,stage.cleanup,1,0.004748964,0.004748685,0.4239845853785008
32,10,1,BA,B,3,stage.delivery,1,4.2378e-05,4.2068e-05,0.003783481778166798
32,10,1,BA,B,3,stage.leaf_distance,1,0.001293451,0.001293131,0.11547850982707118
32,10,1,BA,B,3,stage.node_plan,4,8.2407e-05,8.1243e-05,0.007357246280933298
32,10,1,BA,B,3,stage.node_prune,4,5.1034e-05,4.9901e-05,0.004556284134856868
32,10,1,BA,B,3,stage.output_alloc,1,4.714e-06,4.419e-06,0.00042086302096083544
32,10,1,BA,B,3,stage.pivot_distance,2,9.8656e-05,9.8109e-05,0.008807947008042466
32,10,1,BA,B,3,stage.pivot_sort,2,0.000200511,0.000199868,0.017901498768748
32,10,1,BA,B,3,stage.result_sort,1,0.00230984,0.002309542,0.2062210946831091
32,10,1,BA,B,3,stage.schedule,10,0.000113303,0.000110518,0.01011562216035756
32,10,1,BA,B,3,stage.threshold,2,1.7342e-05,1.6772e-05,0.0015482830949305915
32,10,1,BA,B,4,stage.aggregate,1,1.5705e-05,1.544e-05,0.001401220011616609
32,10,1,BA,B,4,stage.alloc_init,1,0.002116596,0.002116263,0.1888453786505997
32,10,1,BA,B,4,stage.candidates,1,9.9126e-05,9.8837e-05,0.008844147397103342
32,10,1,BA,B,4,stage.cleanup,1,0.003703902,0.003703601,0.3304668324397823
32,10,1,BA,B,4,stage.delivery,1,4.0599e-05,4.0306e-05,0.0036222942535258013
32,10,1,BA,B,4,stage.leaf_distance,1,0.001293431,0.00129309,0.11540155369915837
32,10,1,BA,B,4,stage.node_plan,4,9.4989e-05,9.3846e-05,0.008475039011999367
32,10,1,BA,B,4,stage.node_prune,4,5.5415e-05,5.432e-05,0.004944196558021929
32,10,1,BA,B,4,stage.output_alloc,1,4.384e-06,4.084e-06,0.0003911460382634329
32,10,1,BA,B,4,stage.pivot_distance,2,0.000103045,0.000102478,0.009193805545815567
32,10,1,BA,B,4,stage.pivot_sort,2,0.000200372,0.00019968,0.017877443882053052
32,10,1,BA,B,4,stage.result_sort,1,0.003330068,0.003329817,0.29711288899357513
32,10,1,BA,B,4,stage.schedule,10,0.000123165,0.000120443,0.010988937454999024
32,10,1,BA,B,4,stage.threshold,2,2.0286e-05,1.9742e-05,0.0018099426396468977
32,10,1,BA,B,5,stage.aggregate,1,1.6074e-05,1.5797e-05,0.0014896512609072193
32,10,1,BA,B,5,stage.alloc_init,1,0.002117888,0.002117527,0.19627438905439026
