variant,metric,unit,value
A,l1tex__t_sector_pipe_tex_mem_texture_op_tex_hit_rate.pct,%,0
A,l1tex__t_sectors.avg,sector,6867153.93
A,l1tex__t_sectors.max,sector,6920250
A,l1tex__t_sectors.min,sector,6486697
A,l1tex__t_sectors.sum,sector,1291024939
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_atom.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_atom_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_ld.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_ld_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_redas.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_redas_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_st.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_st_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_atom.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,sector,1272531693
A,l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum,sector,1136409933
A,l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum,sector,136121760
A,l1tex__t_sectors_pipe_lsu_mem_global_op_red.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum,sector,18496740
A,l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_hit.sum,sector,26824
A,l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss.sum,sector,18469916
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.avg.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.max.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.min.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st.avg.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st.max.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st.min.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_atom.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_ld.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_red.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_st.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_texture.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_texture_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_texture_lookup_miss.sum,sector,0
A,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tex_writeback_active.max.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tex_writeback_active.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tex_writeback_active.sum,cycle,0
A,l1tex__tex_writeback_active.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__texin_sm2tex_req_cycles_active.max.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__texin_sm2tex_req_cycles_active.min.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__texin_sm2tex_req_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__throughput.avg.pct_of_peak_sustained_active,%,20.15
A,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,%,20.16
A,l1tex__throughput.max.pct_of_peak_sustained_active,%,20.28
A,l1tex__throughput.max.pct_of_peak_sustained_elapsed,%,20.29
A,l1tex__throughput.min.pct_of_peak_sustained_active,%,20.01
A,l1tex__throughput.min.pct_of_peak_sustained_elapsed,%,20.02
A,l1tex__throughput.sum.pct_of_peak_sustained_active,%,20.15
A,l1tex__throughput.sum.pct_of_peak_sustained_elapsed,%,20.16
A,l1tex__tmain_requests.avg.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tmain_requests.max.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tmain_requests.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tmain_requests.sum.pct_of_peak_sustained_elapsed,%,0
A,launch__barrier_count,,0
A,launch__block_dim_x,block,512
A,launch__block_dim_y,block,1
A,launch__block_dim_z,block,1
A,launch__block_size,,512
A,launch__cluster_dim_x,,0
A,launch__cluster_dim_y,,0
A,launch__cluster_dim_z,,0
A,launch__cluster_max_active,cluster,0
A,launch__cluster_max_potential_size,block,8
A,launch__cluster_scheduling_policy,,PolicySpread
A,launch__cluster_size,,0
A,launch__execution_model,,SIMT
A,launch__func_cache_config,,CachePreferNone
A,launch__grid_dim_x,,1233116
A,launch__grid_dim_y,,1
A,launch__grid_dim_z,,1
A,launch__grid_size,,1233116
A,launch__kernel_name,,
A,launch__occupancy_cluster_gpu_pct,%,0
A,launch__occupancy_cluster_pct,%,0
A,launch__occupancy_limit_barriers,block,24
A,launch__occupancy_limit_blocks,block,24
A,launch__occupancy_limit_registers,block,3
A,launch__occupancy_limit_shared_mem,block,8
A,launch__occupancy_limit_warps,block,3
A,launch__occupancy_per_barrier_count,,752
A,launch__occupancy_per_block_size,,2338
A,launch__occupancy_per_cluster_size,,0
A,launch__occupancy_per_register_count,,3760
A,launch__occupancy_per_shared_mem_size,,1792
A,launch__persisting_l2_cache_size,byte,25165824
A,launch__preferred_cluster_dim_x,,0
A,launch__preferred_cluster_dim_y,,0
A,launch__preferred_cluster_dim_z,,0
A,launch__preferred_cluster_size,,0
A,launch__registers_per_thread,register/thread,40
A,launch__registers_per_thread_allocated,register/thread,40
A,launch__shared_mem_config_size,byte,8192
A,launch__shared_mem_per_block,byte/block,1024
A,launch__shared_mem_per_block_allocated,byte/block,1024
A,launch__shared_mem_per_block_driver,byte/block,1024
A,launch__shared_mem_per_block_dynamic,byte/block,0
A,launch__shared_mem_per_block_static,byte/block,0
A,launch__sm_count,SM,188
A,launch__stack_size,,95056
A,launch__thread_count,thread,631355392
A,launch__tpc_count,,94
A,launch__tpc_enabled,,all
A,launch__user_grid_dim_x,,1233116
A,launch__user_grid_dim_y,,1
A,launch__user_grid_dim_z,,1
A,launch__user_grid_size,,1233116
A,launch__uses_blocks_as_clusters,,0
A,launch__uses_cdp,,0
A,launch__uses_green_context,,0
A,launch__uses_mps,,0
A,launch__uses_vgpu,,0
A,launch__waves_per_multiprocessor,,2186.38
A,lts__cycles_active.avg,cycle,28359033.09
A,lts__cycles_active.max,cycle,28419729
A,lts__cycles_active.min,cycle,28287951
A,lts__cycles_active.sum,cycle,1814978118
A,lts__cycles_elapsed.avg,cycle,30378992
A,lts__cycles_elapsed.max,cycle,30378992
A,lts__cycles_elapsed.min,cycle,30378992
