q,radius,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,300,1,BA,B,7,stage.alloc_init,1,0.000661563,0.000661237,0.2649243525789321
32,300,1,BA,B,7,stage.candidates,1,7.7687e-05,7.7404e-05,0.03110992933220192
32,300,1,BA,B,7,stage.cleanup,1,0.000217969,0.000217698,0.0872861635358647
32,300,1,BA,B,7,stage.delivery,1,2.0867e-05,2.0589e-05,0.008356235861534844
32,300,1,BA,B,7,stage.leaf_distance,1,0.000983396,0.000983133,0.39380308244069206
32,300,1,BA,B,7,stage.node_distance_prune,4,0.000336711,0.000335595,0.13483665755370963
32,300,1,BA,B,7,stage.schedule,10,0.000120844,0.000118176,0.04839224452251482
32,300,1,BA,A,0,stage.aggregate,1,0.008693191,0.008692913,0.7301064228720779
32,300,1,BA,A,0,stage.alloc_init,1,0.000638677,0.000638395,0.0536399326600175
32,300,1,BA,A,0,stage.candidates,1,8.4809e-05,8.4379e-05,0.007122769489058513
32,300,1,BA,A,0,stage.cleanup,1,0.001020699,0.001020415,0.0857244360234472
32,300,1,BA,A,0,stage.delivery,1,1.9457e-05,1.9165e-05,0.0016341157889918697
32,300,1,BA,A,0,stage.leaf_distance,1,0.000983292,0.000983013,0.08258277136194653
32,300,1,BA,A,0,stage.node_distance_prune,4,0.000336565,0.000335443,0.028266751324564354
32,300,1,BA,A,0,stage.schedule,10,0.000123583,0.000120812,0.01037924302569678
32,300,1,BA,A,1,stage.aggregate,1,0.008688002,0.008687772,0.7617131563209859
32,300,1,BA,A,1,stage.alloc_init,1,0.000912966,0.000869205,0.0800435144321727
32,300,1,BA,A,1,stage.candidates,1,7.4837e-05,7.4551e-05,0.006561270068721627
32,300,1,BA,A,1,stage.cleanup,1,0.00027556,0.00027511,0.024159487688401877
32,300,1,BA,A,1,stage.delivery,1,1.9918e-05,1.9641e-05,0.0017462936412309066
32,300,1,BA,A,1,stage.leaf_distance,1,0.000982903,0.000982473,0.0861751811851984
32,300,1,BA,A,1,stage.node_distance_prune,4,0.000332681,0.000331438,0.02916752258551758
32,300,1,BA,A,1,stage.schedule,10,0.000114383,0.000111701,0.010028431848825925
32,300,1,BA,A,2,stage.aggregate,1,0.008699648,0.008699402,0.7367606170441984
32,300,1,BA,A,2,stage.alloc_init,1,0.000632272,0.000631988,0.05354620196814508
32,300,1,BA,A,2,stage.candidates,1,8.0124e-05,7.9836e-05,0.006785585770832262
32,300,1,BA,A,2,stage.cleanup,1,0.000930721,0.000930463,0.07882141648213736
32,300,1,BA,A,2,stage.delivery,1,1.8967e-05,1.8692e-05,0.0016062878203206969
32,300,1,BA,A,2,stage.leaf_distance,1,0.000983846,0.000983418,0.08332049595989015
32,300,1,BA,A,2,stage.node_distance_prune,4,0.000336519,0.000335263,0.028499307798096726
32,300,1,BA,A,2,stage.schedule,10,0.000122185,0.000119469,0.01034767107744421
32,300,1,BA,A,3,stage.aggregate,1,0.008697899,0.00869761,0.6526019974444836
32,300,1,BA,A,3,stage.alloc_init,1,0.002906528,0.001925362,0.21807633986418098
32,300,1,BA,A,3,stage.candidates,1,7.9108e-05,7.8827e-05,0.005935460829544952
32,300,1,BA,A,3,stage.cleanup,1,0.0001781,0.000177821,0.013362815059689991
32,300,1,BA,A,3,stage.delivery,1,1.8973e-05,1.8686e-05,0.0014235412135176766
32,300,1,BA,A,3,stage.leaf_distance,1,0.000984832,0.000984387,0.07389179045965533
32,300,1,BA,A,3,stage.node_distance_prune,4,0.00033762,0.00033634,0.025331575634208507
32,300,1,BA,A,3,stage.schedule,10,0.00012135,0.000118588,0.009104871462624259
32,300,1,BA,A,4,stage.aggregate,1,0.008690878,0.008690579,0.7830321727037695
32,300,1,BA,A,4,stage.alloc_init,1,0.000636023,0.000635746,0.05730450612464811
32,300,1,BA,A,4,stage.candidates,1,7.777e-05,7.7478e-05,0.007006934405381382
32,300,1,BA,A,4,stage.cleanup,1,0.000225383,0.000225107,0.02030659505063742
32,300,1,BA,A,4,stage.delivery,1,1.8122e-05,1.7838e-05,0.0016327589725385293
32,300,1,BA,A,4,stage.leaf_distance,1,0.000989827,0.000989392,0.08918159780989376
32,300,1,BA,A,4,stage.node_distance_prune,4,0.000337032,0.000335771,0.030365965237424436
32,300,1,BA,A,4,stage.schedule,10,0.000120659,0.00011782,0.010871154666566957
32,300,1,BA,A,5,stage.aggregate,1,0.008697802,0.00869769,0.7517501622721383
32,300,1,BA,A,5,stage.alloc_init,1,0.000641937,0.000641511,0.055482551099517975
32,300,1,BA,A,5,stage.candidates,1,7.812e-05,7.7836e-05,0.0067519038346354
32,300,1,BA,A,5,stage.cleanup,1,0.000691559,0.0006913,0.05977137562694089
32,300,1,BA,A,5,stage.delivery,1,1.8873e-05,1.8594e-05,0.0016311915139666398
32,300,1,BA,A,5,stage.leaf_distance,1,0.000980378,0.000980099,0.08473397308745756
32,300,1,BA,A,5,stage.node_distance_prune,4,0.000338947,0.000337853,0.029295155517641638
32,300,1,BA,A,5,stage.schedule,10,0.000119467,0.000116639,0.010325520934618374
32,300,1,BA,A,6,stage.aggregate,1,0.008695596,0.00869534,0.7597518319947794
32,300,1,BA,A,6,stage.alloc_init,1,0.001031575,0.000981347,0.09013079679529898
32,300,1,BA,A,6,stage.candidates,1,7.852e-05,7.8237e-05,0.006860451411062575
32,300,1,BA,A,6,stage.cleanup,1,0.000180891,0.000180613,0.01580481299284921
32,300,1,BA,A,6,stage.delivery,1,1.8205e-05,1.7922e-05,0.001590607716994322
32,300,1,BA,A,6,stage.leaf_distance,1,0.000979388,0.000978949,0.08557111292126532
32,300,1,BA,A,6,stage.node_distance_prune,4,0.000339593,0.000338466,0.02967092812069502
32,300,1,BA,A,6,stage.schedule,10,0.000118283,0.000115465,0.01033462524522051
32,300,1,BA,A,7,stage.aggregate,1,0.008692352,0.008692075,0.7833246911570982
32,300,1,BA,A,7,stage.alloc_init,1,0.000635839,0.000635417,0.057299611002941224
32,300,1,BA,A,7,stage.candidates,1,7.8328e-05,7.8052e-05,0.007058648385264792
32,300,1,BA,A,7,stage.cleanup,1,0.00022444,0.000224165,0.02022575635263035
32,300,1,BA,A,7,stage.delivery,1,1.8375e-05,1.8102e-05,0.0016558914319175844
32,300,1,BA,A,7,stage.leaf_distance,1,0.000985208,0.000984754,0.08878353664526038
32,300,1,BA,A,7,stage.node_distance_prune,4,0.000342233,0.000341124,0.030840854009221808
32,300,1,BA,A,7,stage.schedule,10,0.000116735,0.000114009,0.01051975435672921
32,300,2,AB,A,0,stage.aggregate,1,0.008691437,0.008691185,0.7823920675500504
32,300,2,AB,A,0,stage.alloc_init,1,0.000639549,0.000639258,0.05757138484804839
32,300,2,AB,A,0,stage.candidates,1,7.8012e-05,7.7734e-05,0.0070225406884632
32,300,2,AB,A,0,stage.cleanup,1,0.000216489,0.000216021,0.01948806351721158
32,300,2,AB,A,0,stage.delivery,1,1.8848e-05,1.8568e-05,0.0016966729079648567
32,300,2,AB,A,0,stage.leaf_distance,1,0.000995303,0.00099489,0.08959590594843726
